president,party,starting term
George Washington,Federalist,"April 30, 1789"
John Adams,Federalist,"March 4, 1797"
Thomas Jefferson,Democratic-Republican,"March 4, 1801"
James Monroe,Democratic-Republican,"March 4, 1809"
James Madison,Democratic-Republican,"March 4, 1817"
John Quincy Adams,Democratic-Republican,"March 4, 1825"
Andrew Jackson,Democrat,"March 4, 1829"
Martin Van Buren,Democrat,"March 4, 1837"
William Harrison,Whig,"March 4, 1841"
John Tyler,Whig,"April 4, 1841"
James K. Polk,Democrat,"March 4, 1845"
Zachary Taylor,Whig,"March 4, 1849"
Millard Fillmore,Whig,"July 9, 1850"
Franklin Pierce,Democrat,"March 4, 1853"
James Buchanan,Democrat,"March 4, 1857"
Abraham Lincoln,Republican,"March 4, 1861"
Andrew Johnson,Democrat,"April 15, 1865"
Ulysses S. Grant,Republican,"March 4, 1869"
Rutherford B. Hayes,Republican,"March 4, 1877"
James A. Garfield,Republican,"March 4, 1881"
Chester A. Arthur,Republican,"September 19, 1881"
Grover Cleveland,Democrat,"March 4, 1885"
Benjamin Harrison,Republican,"March 4, 1889"
William McKinley,Republican,"March 4, 1897"
Theodore Roosevelt,Republican,"September 14, 1901"
William Taft,Republican,"March 4, 1909"
Woodrow Wilson,Democrat,"March 4, 1913"
Warren G. Harding,Republican,"March 4, 1921"
Calvin Coolidge,Republican,"August 2, 1923"
Herbert Hoover,Republican,"March 4, 1929"
Franklin D. Roosevelt,Democrat,"March 4, 1933"
Harry S. Truman,Democrat,"April 12, 1945"
Dwight D. Eisenhower,Republican,"January 20, 1953"
John F. Kennedy,Democrat,"January 20, 1961"
Lyndon B. Johnson,Democrat,"November 22, 1963"
Richard M. Nixon,Republican,"January 20, 1969"
Gerald Ford,Republican,"August 9, 1974"
Jimmy Carter,Democrat,"January 20, 1977"
Ronald Reagan,Republican,"January 20, 1981"
George H. W. Bush,Republican,"January 20, 1989"
Bill Clinton,Democrat,"January 20, 1993"
George W. Bush,Republican,"January 20, 2001"
Barack Obama,Democrat,"January 20, 2009"
Donald Trump,Republican,"January 20, 2017"
