title,topic
 Second Inaugural Address,inaugural address
 Fourth Annual Message,annual message
 Third Annual Message,annual message
 Gettysburg Address,civil war
 Public Letter to James Conkling,slavery
 Emancipation Proclamation,slavery
 Second Annual Message,annual message
 First Annual Message,annual message
 July 4th Message to Congress,miscelanous
 First Inaugural Address,inaugural address
 Farewell Address,farewell address
 Fifth Annual Message to Congress,annual message
 Message on the Constitutional Rights and Responsibilities of the President,president authority
 Nullification Proclamation,law and constitution
 Message Regarding the Bank of the United States,econ
 Statement on the Independence of Texas,the union
 Eighth Annual Message to Congress,annual message
 Seventh Annual Address to Congress,annual message
 Sixth Annual Message to Congress,annual message
 Addendum to the Protest of Senate Censure,president authority
 Protest of Senate Censure,president authority
 Proclamation Regarding the Opening of United States Ports to British Vessels,econ
 Veto Message Regarding Funding of Infrastructure Development,econ
 Message Regarding Treaties with the Choctaw Nation of Indians,native indians
 First Annual Message to Congress,annual message
 Message Regarding South Carolina Nullification of Federal Legislation,law and constitution
 Veto Message of Internal Improvement Legislation,law and constitution
 Fourth Annual Message to Congress,annual message
 Bank Veto,econ
 Message Regarding Indian Removal,native indians
 Third Annual Message to Congress,annual message
 Message Regarding Indian Relations,native indians
 Second Annual Message to Congress,annual message
 Proclamation Regarding Duties on Austrian Vessels,econ
 Veto Message Regarding Electoral College Participation,election
 Message Proposing Constitutional Amendments,law and constitution
 Veto Message Regarding Regulations on Confederate States,law and constitution
 Veto Message on Legislation Amending the Judiciary,law and constitution
 Message Regarding the Removal of Secretary Stanton,miscelanous
 Messages Regarding Correspondence with General U.S. Grant,miscelanous
 Message Regarding the Suspension of Secretary Stanton,miscelanous
 Proclamation Restoring All Rights to Rebellion Participants,rebellion
 Message Regarding Reconstruction Legislation,law and constitution
 Message Clarifying the Reconstruction Acts,law and constitution
 Veto Message Regarding Rebel State Governments,rebellion
 Veto Message on Admitting Nebraska into the Union,the union
 Veto Message on Admitting Colorado into the Union,the union
 Message Proclaiming End to Insurrection in the United States,violence
 Message Restoring Tennessee to Former Status,the union
 Veto Message on Civil Rights Legislation,law and constitution
 Veto Message on Freedmen and Refugee Relief Bureau Legislation,law and constitution
 Announcement of the Successful Suppression of the Rebellion,rebellion
 Executive Order Regarding Discharged Prisoners of War,human/civil rights
 Message Regarding Control of Abandoned Lands and Property,econ
 Message Reestablishing Governments in Former Confederate States,the union
 Proclamation Pardoning Persons who Participated in the Rebellion,rebellion
 Establishing Rewards for the Arrest of Certain Confederate Officers,miscelanous
 Order Ending Commercial Restrictions on Confederate States,econ
 Message Following the Death of Abraham Lincoln,eulogy
 Commencement Address at Rutgers University,miscelanous
 Remarks to the People of Cuba,cuba
 2016 State of the Union Address,state of the union address
 Remarks in Eulogy for the Honorable Reverend Clementa Pickney,eulogy
 Remarks at the 50th Anniversary of the Selma Marches,race ethnicity relations
 2015 State of the Union Address,state of the union address
 Address to the Nation on Immigration,immigration
 2014 State of the Union Address,state of the union address
 Speech on Economic Mobility,econ
 Address to the Nation on Syria,international relations
 Remarks on Education and the Economy,econ
 Remarks on Trayvon Martin,race ethnicity relations
 Speech on Gun Violence,shooting
 Address to the People of Israel,international relations
 Statement on the Government Sequester,econ
 2013 State of the Union Address,state of the union address
 Remarks on Immigration Reform,immigration
 Remarks on Sandy Hook Elementary Shootings,shooting
